id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6.57131E+17,Lovely Garden Apt. in Historic Brownstone,166246610,Shawn,,THIRD WARD,42.65795,-73.75092,Entire home/apt,101,4,16,2/29/2024,0.81,1,268,11,
6.58161E+17,Lovely artist 1 bedroom apartment close to LARK,30920241,Miri,,SIXTH WARD,42.65128,-73.7686,Entire home/apt,129,30,0,,,1,85,0,
6.58638E+17,CHEERFULL 3 BEDROOM HOME WITH FREE PARKING.,466389096,Patrice,,FIRST WARD,42.6374547,-73.7716647,Entire home/apt,159,5,5,9/22/2023,0.25,3,316,2,
6.59272E+17,"Downtown 1 bedroom 
on the park.",188046954,Jonathan,,SIXTH WARD,42.65808213,-73.77000952,Entire home/apt,,3,0,,,1,269,0,
6.62133E+17,Beautiful 4 bedroom house Large eat in kitchen,466389096,Patrice,,FIRST WARD,42.6382401,-73.7719405,Entire home/apt,,5,1,7/15/2022,0.05,3,364,0,
6.67645E+17,Pied-a-terre albany,439560254,Sean,,SIXTH WARD,42.65541381,-73.76367521,Entire home/apt,118,2,64,2/28/2024,3.25,1,0,37,
6.68608E+17,The Rose Room at Historic Buel House,382970529,Thomas,,FOURTEENTH WARD,42.66758,-73.7992,Private room,75,1,96,3/3/2024,4.75,10,0,55,
6.68608E+17,The Silk and Sun Room at Historic Jesse Buel House,382970529,Thomas,,FOURTEENTH WARD,42.66764,-73.79908,Private room,75,1,83,2/25/2024,4.11,10,0,50,
6.69022E+17,Beautiful home in the upstate ny,468871633,Wayne,,FIFTH WARD,42.66381,-73.75919,Entire home/apt,,7,2,12/22/2022,0.11,1,191,0,
6.77623E+17,**New Listing! Modern 2 bdrm Apt in Mansion Area!,203631769,Johnny,,SECOND WARD,42.64531,-73.75963,Entire home/apt,,2,28,9/29/2023,1.47,1,0,10,
6.77764E+17,Peaceful 3 Bedroom in the Heart of Central Albany,471187792,Romel,,THIRTEENTH WARD,42.6694413,-73.7974941,Entire home/apt,141,1,56,1/26/2024,2.88,1,25,31,
6.81241E+17,Tranquil Master Bedroom,376794541,Neha,,ELEVENTH WARD,42.66305,-73.77726,Private room,48,10,6,1/5/2024,0.52,3,158,6,
6.81264E+17,"Comfy private room in a Residential House, Albany",376794541,Neha,,ELEVENTH WARD,42.66286,-73.77817,Private room,45,10,11,2/1/2024,0.56,3,162,5,
6.81938E+17,Lovely studio apartment with 1 bedroom.,466389096,Patrice,,FIRST WARD,42.63716,-73.77227,Entire home/apt,60,7,0,,,3,298,0,
6.81952E+17,Albany-2 bedrooms apt (1st fl) A&A-Sisters Rental,461579260,Md,,SECOND WARD,42.646896,-73.757612,Entire home/apt,,1,2,8/20/2023,0.16,2,191,1,
6.82688E+17,Lovely 4 bed 2 bath located near St Rose,232967878,Diana,,TENTH WARD,42.66172,-73.78497,Entire home/apt,179,1,84,2/23/2024,4.31,22,0,54,
6.841E+17,Cozy 1BR with Patio in the Heart of Albany,1176120,Julia,,THIRD WARD,42.65732,-73.75676,Entire home/apt,99,1,80,2/6/2024,4.1,3,59,48,
6.85516E+17,Lovely Unit with Free Parking on Premises,392074908,Jerry,,SEVENTH WARD,42.64759,-73.77049,Entire home/apt,,2,5,8/27/2023,0.26,5,364,2,
6.87497E+17,Albany-3 bedrooms apt (2nd fl) A&A-Sisters Rental,461579260,Md,,SECOND WARD,42.64621,-73.75723,Entire home/apt,,1,4,5/28/2023,0.23,2,191,2,
6.88355E+17,Albany-3 bedrooms apt (3rd fl) A&A-Sisters Rental,474123093,Lipa,,SECOND WARD,42.646896,-73.757612,Entire home/apt,,1,12,7/26/2023,0.62,1,0,4,
6.89719E+17,"Elegant, spacious studio apt in historic mansion",1717342,David,,SIXTH WARD,42.65405765,-73.760713,Entire home/apt,102,1,151,3/8/2024,7.93,2,219,113,
6.91213E+17,Lovely 2 bedroom in beautiful private residence,474507921,Hyacinth,,TENTH WARD,42.66344638,-73.78874122,Private room,,1,21,4/9/2023,1.15,1,0,1,
6.92808E+17,Relax in Style by Washington Park - Free Parking,67337944,Rabia,,ELEVENTH WARD,42.6623,-73.777,Entire home/apt,115,1,68,2/21/2024,4.65,1,0,58,
6.95129E+17,Cozy 1-bedroom bungalow with office,130759460,Kelsey,,EIGHTH WARD,42.64971,-73.80079,Entire home/apt,,4,7,8/26/2023,0.43,1,0,3,
6.99074E+17,Luxurious 2 bedroom 2 bathroom Historical Mansion,476189412,Timothy,,SECOND WARD,42.6468502,-73.7587258,Entire home/apt,,28,5,5/14/2023,0.29,2,151,2,
7.0566E+17,Luxurious one bedroom with off-street parking,353498132,Michael,,SECOND WARD,42.64577,-73.7583,Entire home/apt,110,13,3,8/13/2023,0.2,5,257,2,
7.08041E+17,"Hilts & Kinfolks, LLC - Albany Private Room 2",478008190,Edward,,FOURTEENTH WARD,42.66008,-73.79816,Private room,27,30,4,8/16/2023,0.27,3,341,3,
7.0806E+17,"Hilts & Kinfolks, LLC - Albany, Private Room 3",478008190,Edward,,FOURTEENTH WARD,42.65929701,-73.79720148,Private room,27,30,2,5/23/2023,0.12,3,336,1,
7.08068E+17,"Hilts & Kinfolks, LLC - Albany Private Room 1",478008190,Edward,,FOURTEENTH WARD,42.65935889,-73.7972692,Private room,26,30,4,8/5/2023,0.25,3,332,2,
7.08148E+17,Mambo House Downtown Albany Governor's Mansion,426253886,Aggie,,SECOND WARD,42.64638,-73.76146,Entire home/apt,90,1,39,2/23/2024,2.22,3,346,28,
7.17373E+17,Centrally located 2 bed w/ off street parking,232967878,Diana,,THIRTEENTH WARD,42.6732,-73.79199,Entire home/apt,135,2,30,1/8/2024,1.8,22,79,20,
7.23957E+17,"Modern home, King Bed 4 bed 2bath, Crib,parking",10279606,Nori,,NINTH WARD,42.65691,-73.78389,Entire home/apt,187,1,121,2/25/2024,7.55,1,0,94,
7.24567E+17,Cozy Greenwood Flat (1 BDR Apartment in Albany),360287870,Mela,,SIXTH WARD,42.6513719,-73.7673156,Entire home/apt,113,2,22,3/4/2024,3.46,1,269,22,
7.29132E+17,Bright + Modern 1BR APT w Empire Plaza/Egg View,481974689,Lucy,,THIRD WARD,42.65103,-73.7574,Entire home/apt,,3,23,4/29/2023,1.33,1,0,4,
7.33965E+17,Historic 1 bed/ 1 bath,502037254,Andrew,,SIXTH WARD,42.65035,-73.76549,Entire home/apt,68,14,1,3/26/2023,0.09,1,216,1,
7.3588E+17,Historic & Homey 1 Bedroom Apt @ Downtown Albany,44434571,Earl,,THIRD WARD,42.64564,-73.75261,Entire home/apt,91,1,34,2/29/2024,2.05,6,331,25,
7.36123E+17,Albany Apartment w/ Deck - Walk to Capitol!,121680792,Evolve,,SIXTH WARD,42.65245,-73.76294,Entire home/apt,,2,8,7/9/2023,0.48,5,209,3,
7.36894E+17,Lovely private room in center square or $700/mo,77367219,Elizabeth,,SIXTH WARD,42.65643,-73.76402,Private room,60,30,2,11/28/2022,0.12,1,303,0,
7.37574E+17,4 bed all on one floor,232967878,Diana,,TENTH WARD,42.66069,-73.78555,Entire home/apt,185,1,31,10/23/2023,1.92,22,0,25,
7.39723E+17,Adirondack Suite #1,98744672,Bela,,NINTH WARD,42.6543178,-73.7818222,Private room,45,2,21,2/16/2024,1.26,8,344,17,
7.42947E+17,"Cozy ground floor near governor’s mansion, L Park",479114612,Anilexa,,SECOND WARD,42.64469,-73.761,Entire home/apt,80,3,3,9/4/2023,0.19,1,339,2,
7.436E+17,Cozy apartment 2min walk to Albanymed office space,484673863,Blossom Estates,,NINTH WARD,42.65569,-73.77685,Entire home/apt,130,1,5,2/27/2024,0.34,2,365,1,
7.44431E+17,"1 Bedroom on Lincoln Park, near Lark and Downtown",65414985,James,,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,82,2,9,12/30/2023,0.81,2,289,9,
7.50749E+17,Clean Escape- Centrally located- Self Check-In,255839958,Kira,,SEVENTH WARD,42.64284,-73.77997,Entire home/apt,131,1,12,2/19/2024,0.76,1,361,7,
7.51421E+17,Modern- Cozy Center City 2 Bedroom Apartment Style,486073806,Keneisha,,FIFTH WARD,42.66648,-73.76831,Entire home/apt,101,2,13,2/28/2024,1.01,1,0,11,
7.52119E+17,Cozy luxury brownstone w/ parking & yard,258664571,Vorakij,,SECOND WARD,42.64439385,-73.75975702,Entire home/apt,145,2,35,2/19/2024,2.76,2,0,34,
7.52337E+17,Penthouse Brownstone w/ luxury amenities,258664571,Vorakij,,SECOND WARD,42.6444412,-73.7597141,Entire home/apt,145,2,28,2/25/2024,2.54,2,349,28,
7.56753E+17,Private Room in the Center of the Albany,69729286,Musab,,SIXTH WARD,42.65259,-73.76732,Private room,50,3,14,2/29/2024,0.97,2,171,11,
7.57342E+17,Grand Center Square Studio,188679144,Elizabeth,,SIXTH WARD,42.65534,-73.76461,Entire home/apt,70,7,10,1/21/2024,0.63,8,342,6,
7.57978E+17,Charming location near universities & hospital,232967878,Diana,,THIRTEENTH WARD,42.67348,-73.7934,Entire home/apt,128,2,24,2/25/2024,1.89,22,0,21,
7.61142E+17,"Great place in the heart of Albany, with Parking",37769478,Erion,,SIXTH WARD,42.65405,-73.76953,Entire home/apt,110,1,25,3/6/2024,1.66,8,361,18,
7.64509E+17,Rest+Restore Room • Short & Extended Stay •,6203319,Melissa,,TENTH WARD,42.66117,-73.79091,Private room,75,1,8,11/5/2023,0.51,3,83,7,
7.74701E+17,Entire cozy unit in Albany,261036923,Hasan,,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,65,1,38,3/2/2024,2.61,1,252,29,
7.75646E+17,Casa Coquette home away from home 2BDRM w/ office,115597810,Massi,,SIXTH WARD,42.6518469,-73.7642072,Entire home/apt,107,2,23,2/19/2024,1.57,1,44,17,
7.77069E+17,Cozy Private Hideaway,442094566,Queen,,THIRD WARD,42.65725,-73.75065,Entire home/apt,100,1,46,3/3/2024,3.17,1,0,39,
7.82849E+17,Quiet Apt near the Empire State Plaza,491607190,Abba,,SIXTH WARD,42.65183,-73.76594,Entire home/apt,110,1,10,2/18/2024,0.69,6,19,7,
7.84781E+17,Private bedroom and private bath,491907850,Donna,,FOURTEENTH WARD,42.66298,-73.81361,Private room,60,1,11,10/20/2023,0.84,1,83,8,
7.86181E+17,Lovely Junior 1BED,188679144,Elizabeth,,THIRD WARD,42.65653,-73.76223,Entire home/apt,,1,3,1/27/2024,0.42,8,364,3,
7.86228E+17,Glam 1BR center square,188679144,Elizabeth,,SIXTH WARD,42.65322,-73.76249,Entire home/apt,,2,3,2/18/2024,0.56,8,364,3,
7.86316E+17,Elegant newly renovated cozy smart apartment,253824490,Tomar & Kash,,FIFTH WARD,42.65915031,-73.75431933,Entire home/apt,105,2,31,12/13/2023,2.31,1,250,27,
7.87024E+17,*The Allen House* NEW! Gorgeous Apt - Sleeps 8,349460842,Scott,,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,185,1,50,2/25/2024,3.96,5,0,49,
7.88301E+17,Spacious 2 bed w/parking,232967878,Diana,,SECOND WARD,42.64324,-73.75732,Entire home/apt,150,1,39,2/25/2024,2.68,22,0,34,
7.93223E+17,Cozy & Boho One Bed Apartment,462767507,Joshua,,SIXTH WARD,42.65489,-73.77061,Entire home/apt,102,3,11,12/2/2023,0.84,4,345,10,
7.94723E+17,Updated 3/1 unit for Professionals and Families,20144241,Carla,,FIFTH WARD,42.67283,-73.77367,Entire home/apt,104,3,6,11/21/2023,0.62,1,280,6,
7.95542E+17,Victorian Mansion on Washington Park,493882819,Terra,,NINTH WARD,42.656329,-73.7752048,Private room,628,1,1,8/13/2023,0.14,6,300,1,
7.96231E+17,Washington Park Inn - Room 4,493882819,Terra,,NINTH WARD,42.65582,-73.77541,Private room,122,1,7,1/19/2024,0.9,6,273,7,
7.96983E+17,Bright and Sunny Private Apartment in Albany,18760261,Shane,,NINTH WARD,42.6538578,-73.7855281,Entire home/apt,87,3,13,11/23/2023,1.1,1,231,13,
7.97455E+17,Alb Medical/colleges/Dtw Alb/Green Rm. Share,89705052,Share,,TENTH WARD,42.65741,-73.78034,Private room,55,2,10,11/17/2023,0.74,4,105,9,
7.98449E+17,1 Bedroom Garden Level Suite,222612368,Patrick,,SIXTH WARD,42.65315,-73.77012,Entire home/apt,80,30,2,5/18/2023,0.17,1,225,2,
7.98715E+17,Cozy 1st Floor Apartment near the NYS Museum,491607190,Abba,,SIXTH WARD,42.65038,-73.76664,Entire home/apt,,1,6,12/23/2023,0.45,6,0,4,
8.01366E+17,Charming Albany Retreat ~ 3 Mi to Downtown!,121680792,Evolve,,THIRTEENTH WARD,42.66958,-73.79722,Entire home/apt,126,2,9,8/27/2023,0.71,5,350,8,
8.02217E+17,Washington Park Inn - Room 6,493882819,Terra,,SIXTH WARD,42.65751,-73.77409,Private room,127,1,5,2/10/2024,0.68,6,271,5,
8.03581E+17,Sophisticated Lux apartment,23490148,Fran,,TENTH WARD,42.6601122,-73.7754681,Entire home/apt,,1,5,10/22/2023,0.36,1,343,2,
8.03605E+17,3br/2ba Near Alb Med & St.Petes.,21886921,David,,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,,14,1,6/20/2023,0.11,2,228,1,
8.03814E+17,Washington Park Inn - Room 5,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,122,1,3,8/27/2023,0.38,6,266,3,
8.03868E+17,Washington Park Inn - Room 1,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,127,1,4,7/28/2023,0.5,6,267,4,
8.05897E+17,Chadell's Chateau,496444061,Diana,,THIRD WARD,42.65588,-73.75332,Entire home/apt,89,1,61,2/16/2024,4.72,1,159,56,
8.06768E+17,& Modern Luxury Cottage in Central ALB,110453341,Alexis,,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,103,1,19,2/4/2024,1.4,1,257,15,
8.12481E+17,Adorable Albany Apartment!,266096073,Caroline,,THIRTEENTH WARD,42.67239,-73.79418,Entire home/apt,99,3,31,12/29/2023,2.4,1,38,24,
8.1364E+17,The front room w/ TV and king size bed,116935236,Fs,,THIRTEENTH WARD,42.67143615,-73.7903255,Private room,50,2,10,12/31/2023,1.36,4,206,10,
8.16085E+17,Cozy Apartment across the Park,37769478,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,85,1,27,3/5/2024,2.04,8,360,22,
8.17161E+17,Sophisticated Albany Vacation Rental,121680792,Evolve,,TENTH WARD,42.66011,-73.77547,Entire home/apt,101,2,0,,,5,337,0,
8.21566E+17,COMFY Room/w Private BATH + TV,177073982,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,55,2,3,11/30/2023,0.24,2,282,1,
8.23276E+17,Cozy Home 5 Minute Drive to Albany Med Hospital,500360485,Manjano,,SIXTH WARD,42.65184046,-73.77073691,Entire home/apt,,2,0,,,1,0,0,
8.26302E+17,2 br apt 2 min walk to albanymed offstreet parking,484673863,Blossom Estates,,NINTH WARD,42.65613,-73.77469,Entire home/apt,157,1,17,1/28/2024,1.32,2,277,13,
8.31123E+17,Boho-Chic Cape  Conveniently Located,210596861,Craig,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,219,2,50,3/3/2024,4.1,1,147,50,
8.41524E+17,Mellow Cove,462042479,Natasha,,SIXTH WARD,42.66007584,-73.76976949,Entire home/apt,120,2,1,9/4/2023,0.16,2,360,1,
8.41524E+17,Cozy Cove Away From Home,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,,2,11,12/3/2023,1.28,2,0,11,
8.43481E+17,Gorgeous center square 2 BR,188679144,Elizabeth,,SIXTH WARD,42.65481,-73.76352,Entire home/apt,,1,2,9/4/2023,0.17,8,344,2,
8.4596E+17,Modern Cottage-Perfect for Groups!,268741708,Nanette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,300,2,52,3/10/2024,4.42,1,79,52,
8.46586E+17,Spacious Home Away from Home!,49372011,Phil,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,175,3,12,2/2/2024,1.08,2,298,12,
8.4946E+17,Your luxury home away from home,1761578,Grant,,SIXTH WARD,42.65432,-73.76531,Entire home/apt,,2,1,2/18/2024,1,2,267,1,
8.50173E+17,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,,SECOND WARD,42.6446,-73.75885,Private room,95,1,65,3/6/2024,5.75,1,322,65,
8.50654E+17,"Private queen bedroom near hospitals, schools",20536619,Emily,,THIRTEENTH WARD,42.67177,-73.79464,Private room,66,5,5,11/3/2023,0.67,3,173,5,
8.55337E+17,Eclectic diverse pets fenced yard,186074828,Blake,,SECOND WARD,42.6457663,-73.7586141,Entire home/apt,85,1,29,2/28/2024,2.57,1,80,29,
8.57982E+17,Updated Historic Brownstone Apt.,60293220,David,,THIRD WARD,42.65817,-73.74935,Entire home/apt,78,3,11,12/16/2023,1.13,3,352,11,
8.70293E+17,A Charming  Quiet Unit in a Two-Family House,510191554,He,,FOURTEENTH WARD,42.66947,-73.81607,Entire home/apt,79,1,48,12/17/2023,4.39,1,7,48,
8.70457E+17,Quiet Room Near Everything,177073982,Cristian,,FOURTEENTH WARD,42.66128,-73.80548,Private room,55,3,3,3/2/2024,0.55,2,0,3,
8.79055E+17,Hot tub + close to everything!,24423279,Leslie,,FOURTEENTH WARD,42.66065,-73.80439,Private room,169,7,0,,,1,263,0,
8.80291E+17,Spacious 3BR with 2BA & Laundry,49372011,Phil,,ELEVENTH WARD,42.67355,-73.78496,Entire home/apt,175,2,19,1/26/2024,1.88,2,133,19,
8.81232E+17,Exposed Brick with Park Views,37769478,Erion,,SIXTH WARD,42.65379,-73.76901,Entire home/apt,89,1,8,6/13/2023,0.76,8,311,8,
8.8223E+17,Modern / Downtown Albany 1 BR APT,512736975,Miguelino,,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,67,2,35,3/2/2024,3.51,1,170,35,
8.87168E+17,The Comfort II,459472925,Gabriel,,THIRD WARD,42.66246,-73.76576,Private room,45,1,16,2/18/2024,1.71,2,359,16,
8.87179E+17,The Comfort,459472925,Gabriel,,THIRD WARD,42.6628771,-73.7653403,Private room,45,1,13,3/7/2024,1.31,2,363,13,
8.88859E+17,Downtown Albany Apartment: Walkable Location!,121680792,Evolve,,THIRD WARD,42.6573,-73.7521,Entire home/apt,104,2,5,2/25/2024,0.51,5,349,5,
8.97798E+17,2 Bedroom in quiet neighborhood,37769478,Erion,,TENTH WARD,42.66215778,-73.79234534,Entire home/apt,100,1,11,2/18/2024,1.23,8,358,11,
8.98744E+17,"Airy Colonial Style 5 Br, 2 Ba, Kids Rm & Parking!",516414095,Rashawn,,TENTH WARD,42.66087,-73.78655,Entire home/apt,189,2,29,2/11/2024,3.26,1,0,29,
9.02166E+17,2 bdrm Modern & Hip Apt w/ Patio,47625981,Linda,,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,155,1,24,2/21/2024,2.7,15,281,24,
9.02327E+17,*The LEO Home* Private Bedrooms,349460842,Scott,,TENTH WARD,42.66174,-73.78325,Private room,63,90,0,,,5,296,0,
9.04393E+17,/Luxury Modern Western Hideout\,4259750,Peter,,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,110,2,7,10/9/2023,0.76,9,179,7,
9.05007E+17,*The Red House* 4 Bedrooms•Just Renovated/Listed,349460842,Scott,,TENTH WARD,42.66217,-73.78299,Entire home/apt,197,1,20,1/20/2024,2.48,5,339,20,
9.10156E+17,Exclusive | Suite ~ Extended Stay,6203319,Melissa,,TENTH WARD,42.66292,-73.7909,Private room,,1,1,7/26/2023,0.13,3,0,1,
9.17511E+17,"R&R | Hospitals, Colleges + Politics",6203319,Melissa,,TENTH WARD,42.66261,-73.79158,Private room,72,1,7,12/3/2023,0.85,3,89,7,
9.1764E+17,Everything you need! Modern Gem on New Scotland,471810429,Maria,,SEVENTH WARD,42.6519373,-73.78593012,Entire home/apt,156,3,74,3/1/2024,8.44,1,0,74,
9.19056E+17,Room for rent,502751555,Grace,,FIFTH WARD,42.67292,-73.7776,Private room,93,1,0,,,1,364,0,
9.19729E+17,1Private room1B nearly AlbMed& St.Peter's Hospital,382446799,Elizabeth,,NINTH WARD,42.6559529,-73.7807478,Private room,33,1,5,12/28/2023,0.71,2,354,5,
9.21076E+17,Work hard! Play hard!,521669673,Kody,,THIRD WARD,42.6586,-73.75743,Entire home/apt,80,7,2,9/7/2023,0.28,1,246,2,
